время;Р_ДГУ, кВт;Р_сеть, кВт;Р_СНЭ, кВт
00:00;15.0;0.0;6.0
01:00;18.8;0.0;0.0
02:00;16.5;0.0;0.0
03:00;17.2;0.0;0.0
04:00;21.0;0.0;0.0
05:00;24.0;0.0;0.0
06:00;29.2;0.0;0.0
07:00;30.0;0.0;4.5
08:00;30.0;9.8;0.0
09:00;30.0;2.0;10.0
10:00;30.0;4.2;10.0
11:00;30.0;16.5;0.0
12:00;30.0;18.8;0.0
13:00;30.0;15.0;0.0
14:00;30.0;10.8;0.5
15:00;30.0;7.5;0.0
16:00;30.0;3.8;0.0
17:00;30.0;12.0;0.0
18:00;30.0;9.8;0.0
19:00;30.0;7.5;0.0
20:00;30.0;0.0;-0.8
21:00;30.0;0.0;-6.0
22:00;30.0;0.0;-8.2
23:00;29.5;0.0;-10.0
